AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
CRUZ,M,4,Boxer,Staten Island
STAR,M,9,"Collie, Border",Brooklyn
ERNEST,M,6,"Bull Dog, French",Brooklyn
SIRO,M,14,Maltese,Bronx
CHARLIE,M,3,Unknown,Manhattan
JOEY,M,4,Beagle Crossbreed,Bronx
MINI-COOPER,M,4,"Poodle, Miniature",Manhattan
BLANCA,F,3,Jack Russell Terrier,Bronx
MAKALA,F,12,Shiba Inu,Manhattan
KENNA,F,7,Maltese,Staten Island
BRUNO,M,3,American Pit Bull Terrier/Pit Bull,Bronx
BUDDY,M,12,Unknown,Staten Island
ROXY,F,5,Unknown,Manhattan
TEST,F,16,Bouvier Des Flandres,Manhattan
BIZZEE,M,6,"Poodle, Miniature",Brooklyn
BRIDGET,F,7,Rottweiler,Queens
MY,M,7,Unknown,Brooklyn
KUMA-DUKE,M,3,German Shepherd Dog,Bronx
LAYLA,F,4,Great Dane,Manhattan
BHODI,M,3,American Pit Bull Terrier/Pit Bull,Queens
CONAN,M,3,Labrador Retriever,Bronx
DIAMOND,F,9,American Pit Bull Terrier/Pit Bull,Bronx
BOOMER,M,4,German Shepherd Dog,Queens
LANA,F,3,Dachshund Smooth Coat Miniature,Brooklyn
CHLOE,F,10,"Bull Dog, French",Brooklyn
LUCAS,M,9,"Bull Dog, English",Queens
PATCH,M,7,Jack Russell Terrier,Brooklyn
CELESTE,F,3,Yorkshire Terrier,Queens
GIZMO,M,7,Pekingese,Bronx
TEDDY,M,9,Shih Tzu,Brooklyn
FLUFFY,F,4,Maltese,Bronx
GINGER,F,9,American Pit Bull Terrier/Pit Bull,Bronx
VEE,F,3,"Dachshund, Long Haired Miniature",Bronx
BLONDIE,F,15,Unknown,Staten Island
BEAR,M,3,Maltese,Queens
SHEBA,F,3,Basenji,Queens
URSA,F,4,Unknown,Brooklyn
REAGAN,M,8,Rottweiler,Staten Island
REX,M,4,Unknown,Queens
ABIGAIL,F,5,"Coonhound, Black and Tan",Manhattan
NORMAN,M,4,Chihuahua,Brooklyn
DAISY,F,4,American Pit Bull Terrier/Pit Bull,Manhattan
BELLA,F,7,Unknown,Brooklyn
THOR,M,15,Chihuahua,Manhattan
PRINCESS,F,8,Yorkshire Terrier,Queens
NILES,M,16,"Poodle, Miniature",Manhattan
CICI,F,9,Chihuahua,Bronx
OTIS,M,3,Basenji,Manhattan
WINSTON,M,3,Yorkshire Terrier,Manhattan
PRINCE,M,5,Shih Tzu,Brooklyn
BUTTERS,M,4,Dalmatian,Manhattan
MAYA,F,8,Labrador Retriever,Bronx
CLOVER,F,3,Maltese,Queens
SOPHIE,F,10,Cavalier King Charles Spaniel,Manhattan
CRUNCH,M,3,Pomeranian,Brooklyn
BJ,M,7,Pug,Manhattan
PAVIA,F,5,Weimaraner,Manhattan
HUNTER,M,9,Shih Tzu,Brooklyn
LUCKY,M,4,Dachshund Smooth Coat,Bronx
LULU,F,3,Golden Retriever,Brooklyn
LULA,F,6,Unknown,Staten Island
LUNA,F,8,Shih Tzu,Queens
CUSHI,M,5,Yorkshire Terrier,Queens
LEXII,F,5,Yorkshire Terrier,Bronx
NAPOLEONE,M,4,"Poodle, Miniature",Manhattan
SOSA,M,3,Unknown,Manhattan
RASCAL,M,3,Unknown,Bronx
THOR,M,5,Unknown,Queens
LADY,F,7,Shih Tzu,Bronx
BLACKIE,M,3,Unknown,Manhattan
COLIN,M,4,Unknown,Brooklyn
UNKNOWN,M,3,Unknown,Brooklyn
NAME NOT PROVIDED,M,3,Cocker Spaniel,Queens
DOOLEY,M,14,Boston Terrier,Brooklyn
GINNY,F,3,Unknown,Queens
BOWZER,M,8,Yorkshire Terrier,Manhattan
ELI,M,3,Unknown,Brooklyn
MONTY,M,4,"Schnauzer, Miniature",Brooklyn
MOLSON,F,11,Jack Russell Terrier,Manhattan
MOE,M,12,Boxer,Queens
PRINCESS,F,7,Pomeranian,Manhattan
PUFFY,M,3,"Poodle, Miniature",Queens
RICKY,M,6,Yorkshire Terrier,Manhattan
TOBY,M,3,Chihuahua,Manhattan
OLIVE,F,3,Labrador Retriever Crossbreed,Brooklyn
OREO,M,3,Unknown,Queens
SNOWY,F,16,Chihuahua,Queens
KING,M,3,American Pit Bull Terrier/Pit Bull,Staten Island
KAYDEN,F,2,American Pit Bull Mix / Pit Bull Mix,Bronx
GINA,F,3,Unknown,Manhattan
BRUNO,M,4,American Pit Bull Terrier/Pit Bull,Manhattan
SUZEE,F,6,Rottweiler,Bronx
FIDO,M,14,Chihuahua,Queens
ATTICUSMONET,M,3,Dachshund Smooth Coat Miniature,Staten Island
PARKER,M,11,"Poodle, Miniature",Manhattan
NICO,M,3,Rottweiler,Bronx
DAKOTA,F,3,American Pit Bull Terrier/Pit Bull,Queens
AARON,M,4,Unknown,Manhattan
QUAKER,M,12,Boxer,Queens
IZZY,F,3,Chihuahua,Brooklyn
CHICKADEE,F,3,Boxer,Queens
CHUCKY,M,4,Unknown,Brooklyn
JESSANDO,M,3,Jack Russell Terrier,Manhattan
DAISY,F,4,Unknown,Staten Island
SUKI,M,4,Shih Tzu,Bronx
TACO,M,6,Chihuahua,Manhattan
ALBATROSS,M,3,Unknown,Queens
ALEX,M,3,Shih Tzu,Queens
ZELDA,F,7,Unknown,Brooklyn
