AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
UNKOWN,F,1,Yorkshire Terrier,Brooklyn
UNKNOWN,M,2,Havanese,Brooklyn
LUCKY,M,7,Unknown,Manhattan
SHELBY,F,2,Shiba Inu,Queens
LOGAN,M,10,Golden Retriever,Brooklyn
TIGGER,M,8,Unknown,Manhattan
OZZIE,M,11,Unknown,Brooklyn
PIPPA,F,4,Labrador Retriever,Manhattan
PRINCE,M,1,"Bull Dog, English",Brooklyn
WYATT,M,3,Australian Shepherd,Brooklyn
CHANCE,M,7,Chow Chow,Staten Island
ISLAY,F,2,"Collie, Smooth Coat",Manhattan
MILES,M,4,Dachshund Smooth Coat,Brooklyn
MICKEY,M,8,Maltese,Bronx
AINSWORTH,F,1,French Bulldog,Manhattan
ANNA,F,12,Dachshund Smooth Coat Miniature,Manhattan
ASPEN,M,5,Cocker Spaniel,Brooklyn
ROMEO,M,5,Rhodesian Ridgeback,Manhattan
MONA,F,8,Yorkshire Terrier,Queens
HAPPY,M,11,Pomeranian,Staten Island
BASIL,F,2,Chihuahua Crossbreed,Manhattan
GUNNER,M,2,"Mastiff, Bull",Staten Island
ZOIE,F,5,Yorkshire Terrier,Bronx
SCOUT,M,7,"Schnauzer, Miniature",Brooklyn
DIVA,F,16,Papillon,Staten Island
JORDAN,F,1,Cocker Spaniel,Queens
GIZMO,M,6,Lhasa Apso,Manhattan
BONES,M,6,Rhodesian Ridgeback,Brooklyn
DEMI,F,6,Wire Fox Terrier,Queens
DIESEL,M,10,Chihuahua,Brooklyn
SAMPSON,M,7,Unknown,Brooklyn
RED,M,4,Unknown,Brooklyn
ROCCO,M,14,Unknown,Queens
BEAU,M,13,Maltese,Manhattan
HOMER,M,12,Boston Terrier,Manhattan
MOCCA,M,7,"Poodle, Standard",Manhattan
MOLLY,F,9,Unknown,Manhattan
ROWDY,M,6,Lhasa Apso,Staten Island
DUSTY,F,4,Havanese,Manhattan
MILO,M,2,American Pit Bull Mix / Pit Bull Mix,Queens
PHOEBE,F,14,Unknown,Manhattan
JAI,M,15,Lhasa Apso,Staten Island
CARLY,F,7,Yorkshire Terrier Crossbreed,Staten Island
CHAMP,M,13,Jack Russell Terrier,Brooklyn
ZENA,F,12,Rottweiler,Queens
ZANNAH,F,2,Siberian Husky,Bronx
ZHU,F,8,Chow Chow,Queens
WINDY,F,1,Pekingese,Manhattan
YONA,F,4,Unknown,Manhattan
TINA,F,8,Yorkshire Terrier,Bronx
TIDAL,M,1,Golden Retriever,Brooklyn
OLIVIA,F,12,"Schnauzer, Giant",Brooklyn
BLU,F,16,Dachshund Smooth Coat,Brooklyn
CHARLOTTE,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
CHICO,M,2,American Pit Bull Mix / Pit Bull Mix,Bronx
LINCOLN,M,3,Unknown,Queens
SNUGGLES,F,15,Maltese,Queens
SNOWY,M,4,"Schnauzer, Miniature",Manhattan
UNKNOWN,F,1,Yorkshire Terrier,Brooklyn
UNKNOWN,M,1,French Bulldog,Manhattan
VICKI,F,12,Yorkshire Terrier,Brooklyn
COLIN,M,2,Labrador Retriever Crossbreed,Queens
MAYA,F,5,Miniature Schnauzer,Staten Island
SUNSHINE,F,1,Golden Retriever,Manhattan
BUCKAROO,F,14,Unknown,Manhattan
BUDDY,M,12,Unknown,Queens
BUDDY,M,8,Unknown,Queens
GIBBY,M,10,"Coonhound, Black and Tan",Brooklyn
MAX,M,13,Yorkshire Terrier,BROOKLYN
NATASHA,F,6,American Staffordshire Terrier,Brooklyn
JUNIPER,F,15,Unknown,Bronx
DEZZY,F,5,Shih Tzu,Brooklyn
UNKNOWN,M,1,German Shepherd Dog,Staten Island
URUSLA,F,2,Anatolian Shepherd Dog,Staten Island
COFFEE,F,7,Chihuahua,Queens
COBY,M,5,Labrador Retriever Crossbreed,Brooklyn
LUCY,F,4,German Shepherd Crossbreed,Brooklyn
MADISON,F,10,Pug,Manhattan
SPORT,M,8,Havanese,Manhattan
SPINNER,M,8,Miniature Pinscher,Staten Island
SPARKY,F,4,"Schnauzer, Miniature",Queens
METTA,M,3,Samoyed,Manhattan
MAX,M,8,Yorkshire Terrier,Brooklyn
JOEY,M,12,Shih Tzu,Manhattan
SASHA,F,9,Rottweiler,Brooklyn
RAY,M,16,Dachshund Smooth Coat,Manhattan
RANGER,M,1,Unknown,Staten Island
RILEY,M,11,Boxer,Staten Island
GROVER,M,6,Labrador Retriever Crossbreed,Queens
BANDIT,M,3,American Pit Bull Mix / Pit Bull Mix,Staten Island
BAMBOO,M,18,"Poodle, Standard",MANHATTAN
BACI,F,7,Yorkshire Terrier,Manhattan
BABY,F,2,Shih Tzu,Brooklyn
AXIL,M,6,Labrador Retriever,Manhattan
BAILEY,M,13,Labrador Retriever,Brooklyn
HAVANA,F,14,Chihuahua,Manhattan
MR.,M,8,Maltese,Queens
MUFFIN,M,9,Yorkshire Terrier,Staten Island
MUGSY,M,17,Pug,Brooklyn
MYSTI,F,4,Unknown,Queens
MISTY,F,11,Lhasa Apso,Queens
ROCCO,M,11,American Pit Bull Terrier/Pit Bull,Queens
ROCKY,M,7,Unknown,Manhattan
ROXIE,F,17,Basenji,Bronx
ROSIE,F,4,Labradoodle,Staten Island
ROSCOE,M,11,Cocker Spaniel,Manhattan
ROSCO,M,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
ARNALDO,M,6,Maltese Crossbreed,Brooklyn
ALLAGASH,F,5,Golden Retriever,Manhattan
ANNIE,F,9,Unknown,Brooklyn
ANNIE,F,5,Unknown,Manhattan
MILO,M,13,Unknown,Manhattan
PENNY,F,7,Weimaraner,Brooklyn
PICCOLINA,F,16,Miniature Pinscher,Manhattan
CALLIE,F,8,Cavalier King Charles Spaniel,Brooklyn
CHAI,F,12,Shih Tzu,Brooklyn
HUDSON,M,5,Unknown,Manhattan
WINSTON,M,3,Yorkshire Terrier,Queens
XENA,F,12,Unknown,Brooklyn
TRICKY,F,1,Maltese,Queens
LIBERTY,F,1,French Bulldog,Brooklyn
LACY,F,8,Chihuahua,MANHATTAN
KOBIE,M,13,Yorkshire Terrier,Bronx
BENJI,M,13,Yorkshire Terrier,Brooklyn
BENNY,M,14,Havanese,Manhattan
LOKIE,M,6,Unknown,Bronx
LUCIA,F,5,Shih Tzu,Bronx
LUCKY,M,4,Yorkshire Terrier,Brooklyn
CHEESEBURGER,M,2,Vizsla,Manhattan
LION,M,3,Bedlington Terrier,Manhattan
LILLY,F,16,Shih Tzu,Manhattan
SNOOPY,M,12,American Pit Bull Mix / Pit Bull Mix,Manhattan
SOLO,F,8,Dachshund Smooth Coat,Queens
STEVIE,M,7,Unknown,Bronx
CHASE,M,2,Jack Russell Terrier,Manhattan
CLEMENTINE,F,10,Rottweiler,Manhattan
CHLOE,F,2,Yorkshire Terrier,Queens
SNOOKIE,M,6,Puggle,Brooklyn
SNOW,F,1,American Pit Bull Terrier/Pit Bull,Manhattan
SOPHIE,F,5,"Schnauzer, Standard",Queens
SOFIE,F,3,Golden Retriever,Staten Island
UNKNOWN,F,1,Pomeranian,Queens
UNKNOWN,M,1,Boston Terrier,Brooklyn
UNKNOWN,M,2,Norwich Terrier,Brooklyn
VENUS,F,12,Collie Crossbreed,Brooklyn
CLYDE,M,1,Chihuahua Crossbreed,Brooklyn
MABLE,F,7,Chihuahua,Brooklyn
SQUIRT,M,12,Unknown,Staten Island
SPARTACUS,M,4,"Poodle, Standard",Bronx
MAYA,F,4,Tibetan Spaniel,Staten Island
MAX,M,5,Boston Terrier,Queens
SUNNY,F,6,Labrador Retriever,Manhattan
GIN,F,9,Boxer,Manhattan
KHALEESI,F,2,Dachshund,Manhattan
JONSEY,M,7,Unknown,Staten Island
DASH,M,7,Yorkshire Terrier,Manhattan
DINER,F,2,American Pit Bull Mix / Pit Bull Mix,Manhattan
RYAN,M,5,Unknown,Manhattan
SESAME,M,6,"Shar-Pei, Chinese",Brooklyn
BEAR,M,10,Labrador Retriever,Manhattan
BARRON,M,15,Unknown,Brooklyn
HERSHEY,M,3,Jack Russell Terrier,Brooklyn
MOZART,M,10,Unknown,Queens
MUPPET,M,6,Poodle,Brooklyn
MISS,F,9,Yorkshire Terrier,Brooklyn
ATLAS,M,5,Miniature Pinscher,Staten Island
ATOS,M,11,Unknown,Brooklyn
ANTON,M,3,"Pointer, German Shorthaired",Queens
EASEL,M,3,American Pit Bull Mix / Pit Bull Mix,Queens
DUKE,M,11,Labrador Retriever Crossbreed,Staten Island
ANNABELLE,F,2,American Pit Bull Mix / Pit Bull Mix,Brooklyn
FELIZ,M,4,Poodle,Manhattan
FAWN,F,4,German Shepherd Crossbreed,Queens
MILLIE,F,11,Labrador Retriever Crossbreed,Manhattan
JEAN-LUC,M,4,Chihuahua,Bronx
PEPPER,M,14,Maltese,BROOKLYN
JACK,M,14,Chihuahua,MANHATTAN
C.J.,M,13,Unknown,Manhattan
CHANCE,M,6,"Schnauzer, Standard",Queens
ZEUS,M,10,Unknown,Queens
ZOEY,F,16,"Poodle, Standard",Manhattan
ZOEY,F,6,Labrador Retriever Crossbreed,Manhattan
PRINCE,M,7,Maltese,Queens
PIXIE,F,1,Beagle Crossbreed,Brooklyn
TRIXIE,F,4,Unknown,BRONX
THEODORE,M,2,Shih Tzu,Brooklyn
BOBO,M,2,Yorkshire Terrier,Queens
KOBY,M,9,Dachshund Smooth Coat,Brooklyn
LUCKY,M,14,Unknown,Queens
SHORTY,M,12,Chihuahua,Staten Island
LUCKY,M,2,Bichon Frise,Brooklyn
RAINBOW,F,9,Unknown,Queens
ZOOPIE,F,1,Toy Fox Terrier,Manhattan
BEAUTY,F,5,Labrador Retriever,Manhattan
GUINNESS,F,12,German Shepherd Dog,Brooklyn
BABY,F,10,American Pit Bull Mix / Pit Bull Mix,Bronx
BAILEY,F,8,Yorkshire Terrier,Queens
HERSHEY,M,10,"Pointer, German Shorthaired",Staten Island
HAGAR,M,5,Pug,Brooklyn
MOTEK,M,11,Shetland Sheepdog,Manhattan
MORGAN,F,3,Boston Terrier,Brooklyn
MR.,M,8,Shih Tzu,Manhattan
NALA,F,4,Basenji,Manhattan
MISSY,F,14,Yorkshire Terrier,QUEENS
MISSY,F,12,Unknown,QUEENS
MOLLY,F,1,West High White Terrier,Manhattan
ROCKY,M,13,Unknown,Brooklyn
ROCKY,M,7,Unknown,Staten Island
ROXIE,F,14,"Collie, Bearded",Staten Island
RUBY,F,10,Beagle,Manhattan
ANDY,M,13,Yorkshire Terrier,Queens
EMI,F,2,Shih Tzu,Manhattan
MIKEY,M,2,Unknown,Bronx
MINI,F,14,Papillon,QUEENS
PEPE,M,5,"Bull Dog, French",Queens
CHACHI,F,3,Maltese,Bronx
PEEVE,M,1,Cocker Spaniel,Manhattan
OZZY,M,12,Boston Terrier,Manhattan
LILA,F,3,Unknown,Staten Island
OREO,M,3,"Poodle, Toy",Queens
ONYX,F,13,Scottish Terrier,Manhattan
KIRA,F,1,Shiba Inu,Manhattan
BELLA,F,5,Chihuahua,Queens
CHATA,F,10,Shih Tzu,Queens
CHLOE,F,10,Shih Tzu,Brooklyn
LILY,F,9,Terrier mix,Manhattan
LING-LING,F,11,Maltese,Manhattan
UNKNOWN,F,6,Pomeranian,Brooklyn
COOKIE,F,4,Shih Tzu,Brooklyn
LUCY,F,11,Havanese,Manhattan
CUZO,M,7,Yorkshire Terrier,Brooklyn
MADDIE,F,10,Golden Retriever,Queens
MAGGIE,F,7,Pug,Brooklyn
UNKNOWN,F,1,Shiba Inu,Manhattan
STARTER,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
STAR,F,7,Cotton De Tulear,Manhattan
MIALUNA,F,2,Chihuahua,Manhattan
SYLVESTER,M,4,Dachshund Smooth Coat,Manhattan
SUZY,F,14,Shih Tzu,Brooklyn
MAX,M,8,Unknown,Queens
JUNO,F,15,German Shepherd Crossbreed,Manhattan
JUMPY,M,9,Yorkshire Terrier,Brooklyn
DUFFY,M,13,Cocker Spaniel,Brooklyn
JO,M,9,Beagle,Bronx
NEMO,M,11,Puggle,Manhattan
NAME NOT PROVIDED,F,7,Unknown,Brooklyn
SHEIDO,F,5,"Poodle, Standard",Bronx
SIMBA,M,3,Shiba Inu,Manhattan
CHLOE,F,6,"Poodle, Miniature",Manhattan
CHOCO,F,6,Yorkshire Terrier,Queens
UNKNOWN,M,1,Silky Terrier,Bronx
COGNAC,M,16,"Poodle, Standard",Queens
MAGGIE,F,3,Soft Coated Wheaten Terrier,Queens
UNKNOWN,F,1,Australian Cattle Dog,Brooklyn
BORIS,M,4,Labrador Retriever,Manhattan
BUDDY,M,10,Yorkshire Terrier,Brooklyn
GIZMO,M,14,Unknown,Manhattan
JOJO,M,9,Shih Tzu,Bronx
DRAMA,M,9,American Pit Bull Terrier/Pit Bull,Bronx
DOLBY,M,15,Beagle,Manhattan
DIAMOND,F,10,West High White Terrier,Staten Island
NEO,M,5,Jack Russell Terrier,Brooklyn
SCOOBY,M,10,Golden Retriever,Manhattan
PUNUM,F,12,Brussels Griffon,Brooklyn
BARRISTAN,M,2,Dachshund,Brooklyn
HAZEL,F,2,Yorkshire Terrier,Staten Island
MOLLY,F,11,Puggle,Manhattan
MITTIZZI,F,16,Yorkshire Terrier,Bronx
RUSSIAN,M,6,Unknown,Brooklyn
RUBY,F,8,Maltese,Brooklyn
ASPEN,M,4,Dachshund Smooth Coat,Manhattan
ALVIN,M,4,Unknown,Manhattan
ANGEL,F,12,Bichon Frise,Brooklyn
ACE-DAVE,M,7,Unknown,Queens
EISNER,M,4,Labrador Retriever,Queens
ELEANOR,F,9,Unknown,Queens
MIKA,F,5,Unknown,Manhattan
PILOT,M,2,Labrador Retriever,Brooklyn
ISABELLE,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
IZZY,F,6,Pomeranian,Brooklyn
CEASER,M,10,Japanese Chin/Spaniel,Staten Island
ZOE,F,5,Beagle,Manhattan
WINSTON,M,7,Yorkshire Terrier,Queens
ZACK,M,7,Yorkshire Terrier,Bronx
PONTI,M,10,Unknown,Manhattan
PATIENCE,F,5,Unknown,Brooklyn
TEDDY,M,3,Shih Tzu,Staten Island
TINA,F,12,"Schnauzer, Miniature",Queens
TITAN,M,2,German Shepherd Dog,Bronx
OREO,M,14,Shih Tzu,Queens
LEILA,F,1,French Bulldog,Bronx
BO,M,3,Lhasa Apso,Staten Island
KISMET,F,14,Shih Tzu,MANHATTAN
KITTY,M,13,Chihuahua Crossbreed,Manhattan
BELLA,F,7,Pomeranian,Queens
BETTY,F,6,Shih Tzu,Manhattan
LOLA,F,2,Jack Russell Terrier,Manhattan
TOBY,M,3,Unknown,Brooklyn
TODD,M,5,Miniature Pinscher,Brooklyn
TEDDY,M,16,Chihuahua,Bronx
TEDDY,M,4,Labradoodle,Manhattan
TIFFANY,F,6,"Dachshund, Long Haired",Bronx
TOBIAS,M,3,English Cocker Spaniel,Manhattan
LASSO,F,14,Unknown,Manhattan
LACEY,F,5,Unknown,Staten Island
KOJI,M,8,Shiba Inu,Brooklyn
LOLA,F,8,Yorkshire Terrier,Manhattan
LOCKNESS,M,9,Scottish Terrier,Brooklyn
SHYNE,M,7,American Pit Bull Mix / Pit Bull Mix,Queens
SIMON,M,1,Unknown,Brooklyn
SHADOW,M,8,American Pit Bull Terrier/Pit Bull,Staten Island
CHARLIE,M,16,Silky Terrier,Bronx
SNAPPLE,F,15,Labrador Retriever,Staten Island
SOPHIE,F,7,Unknown,Manhattan
UNKNOWN,M,2,Poodle,Brooklyn
DAISY,F,15,Miniature Pinscher,Staten Island
LUNA,F,3,Chihuahua Crossbreed,Queens
MAC,M,6,West High White Terrier,Staten Island
LUPOS,M,15,Chihuahua,Brooklyn
MARCO,M,10,Maltese,Queens
STAR,F,13,Akita,Queens
MAX,M,5,Pug,Brooklyn
MELO,M,3,Unknown,Brooklyn
BRODIE,M,8,Bassett Hound,Staten Island
BUBBA,M,4,Shih Tzu,Queens
BUDDY,M,12,German Shepherd Crossbreed,Bronx
FRANKIE,M,4,Beagle,Manhattan
GINGER,F,9,Yorkshire Terrier,Manhattan
MAX,M,1,"Bull Dog, English",Queens
MATEO,M,15,Shih Tzu,Brooklyn
KACEY,F,9,Pomeranian,Queens
JULIUS,M,10,Japanese Chin/Spaniel,Staten Island
DORI,F,5,Unknown,Queens
NICKI,M,9,Maltese,Queens
SARAH,F,12,German Shepherd Crossbreed,Manhattan
SANDY,F,2,Wheaton Terrier,Staten Island
SAM,M,14,Shih Tzu,Queens
SCRAPPY,M,10,Chihuahua,Staten Island
SHADOW,F,12,Unknown,Staten Island
PRINGLES,M,9,Shih Tzu,Queens
BEE,F,13,Unknown,Queens
GUNTHER,M,8,"Schnauzer, Miniature",Queens
GRACIE,F,9,Golden Retriever,Staten Island
BANDIT,F,16,Unknown,Manhattan
MISS,F,13,Bichon Frise,Queens
MONSTER,M,4,Terrier Crossbreed,Staten Island
ROCKIE,M,14,Shih Tzu,QUEENS
ADAM,M,10,Unknown,Brooklyn
FERDINAND,M,2,Dachshund Smooth Coat Miniature,Brooklyn
MILLIE,F,16,Maltese,Staten Island
PENELOPE,F,2,Tibetan Terrier,Manhattan
IZZY,F,9,"Collie, Border",Brooklyn
WOODY,M,12,Unknown,Bronx
PRINCE,M,18,Unknown,Staten Island
MAX,M,13,Papillon,Queens
KAYLEY,F,7,Maltese,Manhattan
KADO,M,7,Unknown,Brooklyn
JOY,F,7,Lhasa Apso,Brooklyn
JOY,F,6,Unknown,Staten Island
JINGLE,F,15,Pekingese,BROOKLYN
DIVA,F,2,Chihuahua,Bronx
DOLLY,F,4,Unknown,Manhattan
DAISY,F,2,Golden Retriever,Brooklyn
NOVA,F,1,Bichon Frise,Manhattan
SAMSON,M,5,Rottweiler,Brooklyn
SAMSON,M,4,Rottweiler,Manhattan
SHADOW,F,8,"Poodle, Miniature",Bronx
NAME,F,9,Jack Russell Terrier,Queens
REGGIE,M,1,French Bulldog,Manhattan
QUINN,M,11,Labrador Retriever,Manhattan
RILEY,M,4,American Eskimo dog,Manhattan
RICHIE,M,9,Siberian Husky,Brooklyn
GROUCHO,M,16,Shih Tzu,Brooklyn
GRAFF,M,13,"Poodle, Standard",Staten Island
GRETA,F,4,Labrador Retriever Crossbreed,Manhattan
BABY,F,16,Maltese,Queens
HOLLY,F,6,Bassett Hound,Bronx
ROXY,F,7,Yorkshire Terrier,Bronx
AMANDA,F,13,Unknown,Manhattan
ACHILES,M,11,Unknown,Staten Island
ADDIE,F,11,Labrador Retriever,Manhattan
EMMA,F,12,Unknown,Staten Island
PENNY,F,5,Chihuahua,Manhattan
PEPPER,F,7,Unknown,Manhattan
CASH,M,6,Labrador Retriever Crossbreed,Brooklyn
CASSIE,F,16,Yorkshire Terrier,QUEENS
HUEY,F,4,"Poodle, Standard",Queens
ZEBEDEE,M,11,Whippet,Manhattan
ZANDER,M,3,Brussels Griffon,Queens
YIYI,F,10,Lhasa Apso,Bronx
POKEY,F,12,German Shepherd Crossbreed,Queens
PEGOTY,F,10,"Dachshund, Long Haired",Manhattan
TESSA,F,4,Havanese,Manhattan
LAYLA,F,10,Puggle,Manhattan
LEO,M,14,Maltese,Staten Island
LEONARDO,M,3,Havanese,Manhattan
BO,M,8,Shih Tzu,Queens
KODI,M,7,German Shepherd Crossbreed,Manhattan
BERNIE,M,10,Saint Bernard,Queens
LUCY,F,11,Unknown,Queens
CHEETO,M,2,Silky Terrier,Brooklyn
CHESTER,M,7,Unknown,Queens
LILY,F,4,Poodle,Manhattan
CLOE,F,9,Maltese,Bronx
CHRISTMAS,F,4,American Pit Bull Mix / Pit Bull Mix,Queens
SKIPPY,M,10,Cocker Spaniel,Staten Island
CRICKET,F,11,Unknown,Manhattan
MAGGIE,F,13,German Shepherd Crossbreed,BROOKLYN
MARCELL,M,10,Shih Tzu,Brooklyn
UNKNOWN,F,1,Boston Terrier,Manhattan
SPUD,M,17,Unknown,Manhattan
MAX,M,10,Unknown,Queens
FRANKIE,M,13,Unknown,Brooklyn
FRANKIE,M,10,American Pit Bull Terrier/Pit Bull,Brooklyn
GARDA,M,12,Unknown,Brooklyn
GIDGET,F,2,Border Terrier,Manhattan
MILLIE,F,5,"Welsh Corgi, Pembroke",Bronx
JALAPENO,M,3,Yorkshire Terrier,Manhattan
BUNKER,M,9,Dachshund,Manhattan
CHARLIE,M,12,Unknown,Brooklyn
WICKLOW,M,6,Unknown,Manhattan
WHISKEY,F,7,Beagle Crossbreed,Queens
LEXIE,F,14,Dachshund Smooth Coat,Queens
BOBDOG,M,2,Shih Tzu Crossbreed,Brooklyn
KOOKIE,F,8,Shih Tzu,Bronx
BENNY,M,3,"Poodle, Miniature",Manhattan
BILLY,M,8,Shih Tzu,Bronx
SHOJI,M,13,Tibetan Terrier,Manhattan
SIMON,M,4,Yorkshire Terrier,Manhattan
SHAKIRA,F,9,Shih Tzu,Manhattan
CHINA,F,11,American Staffordshire Terrier,Queens
LISA,F,3,Pomeranian,Manhattan
LILY,F,5,"Bull Dog, English",Staten Island
CHURRO,M,7,Jack Russell Terrier,Manhattan
CHO-CHO,M,12,Pekingese,Queens
UNKNOWN,F,5,Dachshund,Brooklyn
UNKNOWN,M,1,Boston Terrier,Bronx
LUCY,F,3,Unknown,Manhattan
UNI,M,9,Chihuahua,Manhattan
TYRELL,M,4,Rottweiler,Manhattan
SPIKE,M,10,Havanese,QUEENS
MEATBALL,M,8,Shih Tzu,Brooklyn
SUSHI,F,3,American Staffordshire Terrier,Staten Island
NANNETTE,F,15,Unknown,Manhattan
KELSO,M,9,Border Terrier,Manhattan
JULL,F,13,Chihuahua,Queens
JESSIE,F,15,Unknown,Bronx
NAME NOT PROVIDED,F,1,Maltese,Brooklyn
RAMBO,M,6,Pomeranian,Staten Island
RICHIE,M,8,"Poodle, Miniature",Manhattan
BECKER,M,10,Cavalier King Charles Spaniel,Brooklyn
GUS,M,8,Catahoula Leopard Dog,Manhattan
GUCCI,M,11,Maltese,Staten Island
HERO,M,7,German Shepherd Dog,Brooklyn
HANS,M,8,"Schnauzer, Miniature",Queens
HONEY,F,8,Labrador Retriever,Brooklyn
MUSHY,M,10,Shih Tzu,Staten Island
MJAY,M,7,Siberian Husky,Queens
ROMEO,M,6,Labrador Retriever Crossbreed,Manhattan
RUSTY,F,14,Miniature Pinscher,QUEENS
ETHAN,M,8,Yorkshire Terrier,Bronx
MILANA,F,12,Labrador Retriever,Queens
WINSTON,M,7,Jack Russell Terrier,Manhattan
ZELMO,M,3,Chihuahua,Manhattan
BUTTONS,F,2,Unknown,Queens
BUMPER,M,9,Jindo,Queens
JEE,F,7,Border Terrier,Bronx
MIMI,F,7,Shih Tzu,Queens
FIKUS,M,6,"Poodle, Miniature",Queens
EMILIE,F,5,Havanese,Queens
DULCE,F,13,Unknown,Queens
EBBE,F,13,Australian Shepherd,Brooklyn
ARCHIE,M,3,Unknown,Manhattan
HOOCH,M,8,Unknown,Brooklyn
HERSCHEL,M,1,German Shepherd Dog,Brooklyn
BARON,M,7,German Shepherd Dog,Staten Island
QUARK,M,13,Yorkshire Terrier,Manhattan
NENA,F,10,Shih Tzu,Manhattan
NIKKA,F,4,Unknown,Queens
MAX,M,6,Puggle,Queens
BRANDY,F,13,German Shepherd Crossbreed,Queens
TAMMY,F,1,Shih Tzu,Manhattan
STEELE,M,3,Siberian Husky,Bronx
TUCKER,M,8,Chihuahua,Manhattan
MAPLE,F,9,Golden Retriever,Manhattan
SKY,M,5,Golden Retriever,Queens
SMOKEY,M,6,Beagle Crossbreed,Queens
CHEYENNE,F,5,Unknown,Staten Island
SHOGUN,M,4,Shiba Inu,Manhattan
SHELBY,M,10,Shetland Sheepdog,Manhattan
LOUIE,M,4,Pomeranian,Queens
LAWRI,F,11,Shih Tzu,Brooklyn
OSCAR,M,6,Yorkshire Terrier,Manhattan
OLIVER,M,1,Cavalier King Charles Spaniel,Brooklyn
TICO,M,9,West High White Terrier,Bronx
TIKI,M,10,Shih Tzu,Brooklyn
THOR,M,2,American Pit Bull Mix / Pit Bull Mix,Queens
THEO,M,5,"Dachshund, Long Haired",Queens
TAZZY,M,10,Unknown,Brooklyn
TRAUBLE,M,7,Chihuahua,Bronx
PRINCESA,F,9,Dachshund Smooth Coat,Bronx
EDDA,F,4,Rottweiler,Manhattan
HAPPY,F,13,Beagle,Queens
HAWKEYE,M,14,Labrador Retriever,Staten Island
BEIGNET,F,2,French Bulldog,Manhattan
SARAH,F,2,American Pit Bull Mix / Pit Bull Mix,Bronx
NOAH,M,16,Shih Tzu,Brooklyn
DIEGO,M,9,Chihuahua,Queens
DONA,F,1,Basset Hound,Queens
MARLA,F,7,Beagle,Brooklyn
GINGER,F,9,Collie Crossbreed,Manhattan
GABBY,F,3,Unknown,Manhattan
MAXI,M,17,Bichon Frise,Queens
COTY,M,11,Maltese,Staten Island
COOTER,M,2,Beagle Crossbreed,Bronx
COMANCHE,M,2,American Pit Bull Mix / Pit Bull Mix,Bronx
UNKNOWN,F,4,Jack Russell Terrier,Manhattan
LINCOLN,M,2,"Poodle, Toy",Manhattan
LITTLE,F,14,Weimaraner,Queens
LILY,F,8,Yorkshire Terrier,Manhattan
CHICO,M,14,Unknown,Manhattan
CHLOE,F,2,Unknown,Brooklyn
CHLOE,F,13,Pug,Brooklyn
SHAZIM,F,3,German Shepherd Dog,Brooklyn
LUCKY,M,4,Golden Retriever,Bronx
PIPER,F,3,Labradoodle,Brooklyn
PEPPER,F,2,"Schnauzer, Miniature",Queens
ACE,M,7,Pekingese,Brooklyn
ROMEO,M,9,Unknown,Queens
ROCKY,M,4,Maltese,Queens
MOCHI,F,4,French Bulldog,Brooklyn
HILO,M,7,West High White Terrier,Bronx
BELLA,F,11,Yorkshire Terrier,Queens
PRINCESS,F,9,Chihuahua,Brooklyn
DIGBY,M,6,Unknown,Manhattan
KASHIMA,F,14,Unknown,Manhattan
BUDDY,M,10,Australian Cattledog,Queens
SUNITA,F,7,Chihuahua,Brooklyn
MICHELL,F,1,Shiba Inu,Brooklyn
MAX,M,4,Vizsla,Brooklyn
SPROCKET,M,3,Unknown,Queens
STELLA,F,7,Labradoodle,Manhattan
STITCH,M,10,Shih Tzu,Staten Island
STORM,M,12,Yorkshire Terrier,Brooklyn
CREAMY,F,1,Pomeranian,Brooklyn
CHUCKY,M,9,Beagle,Bronx
CHULO,M,5,Unknown,Brooklyn
CHEWY,M,8,Chihuahua,Bronx
BOE,M,1,Boxer,Manhattan
BIRKIN,M,6,"Schnauzer, Miniature",Brooklyn
BLACKY,M,15,Labrador Retriever Crossbreed,Manhattan
LEXINGTON,M,5,American Pit Bull Mix / Pit Bull Mix,Manhattan
TINY,F,5,Chihuahua,Bronx
TOBY,M,6,Labradoodle,Manhattan
POLAR,M,12,Jack Russell Terrier,Manhattan
PRECIOUS,F,7,Shih Tzu,Manhattan
MONKEY,M,3,"Mastiff, Old English",Queens
HOLLY,F,12,Unknown,Queens
BELLA,F,9,Unknown,Queens
NAME NOT PROVIDED,F,2,Yorkshire Terrier,Manhattan
NICO,M,5,Boston Terrier,Queens
MARVIN,M,5,American Staffordshire Terrier,Manhattan
BONNIE,F,8,Unknown,Brooklyn
SUPREME,M,2,Yorkshire Terrier,Brooklyn
MAXIMUS,M,8,American Pit Bull Terrier/Pit Bull,Queens
MAYA,F,11,Chihuahua,Bronx
SPARTACUS,M,4,Maltese,Brooklyn
STAR,F,13,Maltese,Queens
HUNTER,M,4,Shiba Inu,Queens
CHARLES,M,5,Chihuahua,Manhattan
FIONA,F,3,"Welsh Corgi, Pembroke",Brooklyn
ANAKE,F,10,Unknown,Queens
LUIGI,M,13,Maltese,Queens
SMOKEY,M,9,Unknown,Brooklyn
CHIPPY,M,9,Labrador Retriever Crossbreed,Staten Island
